id,name,water_type,lga,pump_type,survey,lat,long,pump_category,facility_label,valid_location
QMVGI,Water Point,Borehole,kebbi_zuru,Hand Pump,cec1f8e5-44f7-44c0-bc77-82879e2d9825,11.48131371,5.19336324,NA,Water Point - Borehole,TRUE
LGZDU,Water Point,Unimproved Well,kebbi_zuru,Manual,c213c889-670b-4ef7-9894-3e91450452de,11.34453216,5.26253448,NA,Water Point - Unimproved Well,TRUE
XIOJU,Water Point,Borehole,kebbi_zuru,Hand Pump,c5aaf20f-f518-49a3-a52a-578283c5b779,11.49676172,5.43898396,NA,Water Point - Borehole,TRUE
MHLFC,Water Point,Borehole,kebbi_zuru,Hand Pump,d1a54cb9-0111-43df-bea1-6df651291a9f,11.35112162,5.22989217,NA,Water Point - Borehole,TRUE
YDAPE,Water Point,Borehole,kebbi_zuru,Hand Pump,7bc30278-9c15-45bf-8393-1c4b7a1dbe01,11.28607661,5.2334184,NA,Water Point - Borehole,TRUE
HQPRK,Water Point,Borehole,kebbi_zuru,Hand Pump,d91d7928-cd74-4b5d-8f15-29ec0603fcdf,11.38160521,5.23779042,NA,Water Point - Borehole,TRUE
ZSPOP,Water Point,Borehole,kebbi_zuru,Hand Pump,063c2eab-c47c-4645-b4ee-e4208c28fd98,11.5478432178497,5.35629630088806,NA,Water Point - Borehole,TRUE
ALEVE,Water Point,Borehole,kebbi_zuru,Hand Pump,93e0b4be-2217-4ce5-ad24-8d9858d379fa,11.40522594,5.0039192,NA,Water Point - Borehole,TRUE
WBYFK,Water Point,Borehole,kebbi_zuru,Hand Pump,f80f9f37-f192-4595-8991-52fb7a86d22e,11.35961586,5.25703774,NA,Water Point - Borehole,TRUE
ITYLD,Water Point,Unimproved Well,kebbi_zuru,Manual,507f1548-c34f-4acd-8fbf-9ea656e6586e,11.31425874,5.20457855,NA,Water Point - Unimproved Well,TRUE
TUEOA,Water Point,Unimproved Well,kebbi_zuru,Manual,f7bb0806-d5b1-4603-84c6-32d2e37ed476,11.43502802,5.24100647,NA,Water Point - Unimproved Well,TRUE
RKZAG,Water Point,Borehole,kebbi_zuru,Hand Pump,8c83b00a-dc63-4f5e-a3a8-94a1f11ee379,11.39685857,5.24069181,NA,Water Point - Borehole,TRUE
OPSMH,Water Point,Borehole,kebbi_zuru,Diesel,d6b06e43-f948-497e-a8e2-5c145f126338,11.43185217,5.26103588,NA,Water Point - Borehole,TRUE
QRBDR,Water Point,Borehole,kebbi_zuru,Hand Pump,280c7078-1c69-4776-84bf-65e5c8328c62,11.41850858,5.24096886,NA,Water Point - Borehole,TRUE
HMYVH,Water Point,Borehole,kebbi_zuru,Hand Pump,ebbee47f-9edc-4c9c-846e-14860b9d8d15,11.31966445,5.22855989,NA,Water Point - Borehole,TRUE
GMNFY,Water Point,Unimproved Well,kebbi_zuru,Manual,44898424-b423-445c-8e36-61b5efe61bb4,11.36860896,5.26059876,NA,Water Point - Unimproved Well,TRUE
ZUOMY,Water Point,Borehole,kebbi_zuru,Diesel,30c54665-05e5-4fdd-b389-6fc6bab79177,11.38172335,5.23773186,NA,Water Point - Borehole,TRUE
GINCM,Water Point,Borehole,kebbi_zuru,Diesel,efea4d35-2995-45ff-9f22-9f93fd26bec3,11.43843051,5.23661253,NA,Water Point - Borehole,TRUE
FPCOR,Water Point,Borehole,kebbi_zuru,Hand Pump,900276b9-fb02-4bed-a303-20acdcf4406b,11.45068243,5.23242277,NA,Water Point - Borehole,TRUE
XQNMA,Water Point,Unimproved Well,kebbi_zuru,Manual,139d64cb-9435-4fc1-96cb-ec279993e1fe,11.23742546,5.23847943,NA,Water Point - Unimproved Well,TRUE
WMIZJ,Water Point,Borehole,kebbi_zuru,Hand Pump,e4dd5a41-439a-4042-adb3-3c8310a86b67,11.5438038110733,5.31462013721466,NA,Water Point - Borehole,TRUE
YPLFC,Water Point,Unimproved Well,kebbi_zuru,Manual,73ba6c65-b847-44f4-acb1-c0cfbc354671,11.4941239356995,5.18459737300873,NA,Water Point - Unimproved Well,TRUE
DHIIY,Water Point,Borehole,kebbi_zuru,Hand Pump,995e62f1-4798-4a8b-ae9a-28b1fb494242,11.54481953,5.48995736,NA,Water Point - Borehole,TRUE
PHXCK,Water Point,Borehole,kebbi_zuru,Solar,7e3adf65-e505-492a-bd0e-4bf3ed7e82e0,11.44147124,5.23961602,NA,Water Point - Borehole,TRUE
LSRAX,Water Point,Borehole,kebbi_zuru,Hand Pump,9e13cebb-605d-4fc7-914b-354d2f58d8fc,11.32574659,5.27421163,NA,Water Point - Borehole,TRUE
FXYSZ,Water Point,Borehole,kebbi_zuru,Diesel,43bb3e17-b810-4eed-981e-1aa167283cb5,11.44670322,5.23854864,NA,Water Point - Borehole,TRUE
KIMUA,Water Point,Borehole,kebbi_zuru,Hand Pump,da206297-7850-43ac-a06e-f8ad7def8cdd,11.37710421,5.25009674,NA,Water Point - Borehole,TRUE
JBTMO,Water Point,Borehole,kebbi_zuru,Solar,7653ec07-aaad-4d02-b3c0-8bf4081abdc8,11.44731396,5.23851524,NA,Water Point - Borehole,TRUE
KNUPM,Water Point,Unimproved Well,kebbi_zuru,Manual,874dd8b7-487a-4090-9d76-d86f0bdd66f3,11.40196672,5.22369835,NA,Water Point - Unimproved Well,TRUE
GTLGH,Water Point,Unimproved Well,kebbi_zuru,Manual,7c01aac9-744f-406f-bfea-371980c0bd2d,11.28519912,5.15416463,NA,Water Point - Unimproved Well,TRUE
GHQMQ,Water Point,Borehole,kebbi_zuru,Diesel,99da1a03-7db6-4bc0-903f-9154aa639231,11.44534738,5.23178635,NA,Water Point - Borehole,TRUE
LTTHR,Water Point,Borehole,kebbi_zuru,Hand Pump,f718c4f6-0a84-4e33-acc9-7fd63ee2b134,11.44721076,5.23451398,NA,Water Point - Borehole,TRUE
OSGGH,Water Point,Unimproved Well,kebbi_zuru,Manual,08860b40-437b-449f-b227-d061d489ee9d,11.28148894,5.19418119,NA,Water Point - Unimproved Well,TRUE
BGXLP,Water Point,Borehole,kebbi_zuru,Hand Pump,665ca708-9bec-4833-ac71-a46c1b9dc570,11.42833735,5.25379972,NA,Water Point - Borehole,TRUE
WOMCJ,Water Point,Borehole,kebbi_zuru,Diesel,1ed20d1c-487d-4d24-b672-e2554406f7c8,11.23902769,5.18153226,NA,Water Point - Borehole,TRUE
CYUJF,Water Point,Borehole,kebbi_zuru,Hand Pump,5e43700b-4a56-4414-9310-66c3e1cb8e24,11.49376588,5.21412432,NA,Water Point - Borehole,TRUE
AFAFZ,Water Point,Unimproved Well,kebbi_zuru,Manual,7610b2e8-3175-461f-8b45-d9cd9cd2dc06,11.41872711,5.24095609,NA,Water Point - Unimproved Well,TRUE
XJWQO,Water Point,Borehole,kebbi_zuru,Hand Pump,058d49b2-0beb-44bf-a9b6-7e2714b7d74f,11.25163957,5.20558214,NA,Water Point - Borehole,TRUE
VQHAE,Water Point,Borehole,kebbi_zuru,Diesel,32c7ee78-4f88-4429-bc2a-f09ad54c0f64,11.43081535,5.23539285,NA,Water Point - Borehole,TRUE
BUUBT,Water Point,Borehole,kebbi_zuru,Hand Pump,fc4aaf03-4096-4005-b3e0-2aa4af212861,11.4891604,5.43866579,NA,Water Point - Borehole,TRUE
CTUTQ,Water Point,Unimproved Well,kebbi_zuru,Manual,4540124b-d89c-4bee-9d5e-49954855ac1e,11.5267771482468,5.17529547214508,NA,Water Point - Unimproved Well,TRUE
MDFDI,Water Point,Borehole,kebbi_zuru,Hand Pump,370435f7-46ce-4683-a0cd-9b0f33bc7cf8,11.49979325,5.25716473,NA,Water Point - Borehole,TRUE
ITPQH,Water Point,Borehole,kebbi_zuru,Diesel,35156aa7-9dfc-4b52-ae14-3cdfabcefe4b,11.42916106,5.25807436,NA,Water Point - Borehole,TRUE
MAZEM,Water Point,Borehole,kebbi_zuru,Hand Pump,1dbfc732-31c9-4ea1-93dc-f2527b3ee168,11.48815222,5.42909865,NA,Water Point - Borehole,TRUE
FMLGR,Water Point,Borehole,kebbi_zuru,Diesel,e6ed6631-9716-47bf-acc1-62cf7c4c3c30,11.44886117,5.22860179,NA,Water Point - Borehole,TRUE
YSMVK,Water Point,Borehole,kebbi_zuru,Diesel,3297f497-3925-486b-a61d-1a206be8040e,11.43649082,5.22932415,NA,Water Point - Borehole,TRUE
FTKTM,Water Point,Borehole,kebbi_zuru,Hand Pump,98b4fd53-ccd3-4cb6-9b1e-9d5bc17f1544,11.37213912,5.23377742,NA,Water Point - Borehole,TRUE
OBXOE,Water Point,Borehole,kebbi_zuru,Diesel,48a26b73-30e5-4be8-80fb-48e036f3d906,11.42822815,5.25363393,NA,Water Point - Borehole,TRUE
JTBLY,Water Point,Unimproved Well,kebbi_zuru,Manual,e96225b3-f938-472c-8a7c-1088489547f2,11.5339064598083,5.19182324409485,NA,Water Point - Unimproved Well,TRUE
EPJZF,Water Point,Unimproved Well,kebbi_zuru,Manual,030776a4-9bf1-4502-b8e1-42e2fb966090,11.26037779,5.17255171,NA,Water Point - Unimproved Well,TRUE
JCUTQ,Water Point,Borehole,kebbi_zuru,Hand Pump,be8a69d6-a605-40c8-a004-0423d2f77bae,11.37477155,5.247921,NA,Water Point - Borehole,TRUE
